OrderNumber,InventoryStatus,PaymentStatus,Customer,ContactName,Phone,Email,BillingAddress1,BillingAddress2,BillingCity,BillingState,BillingCountry,BillingPostalCode,BillingAddressRemarks,,ShippingAddress1,ShippingAddress2,ShippingCity,ShippingState,ShippingCountry,ShippingPostalCode,ShippingAddressRemarks,CurrencyCode,ExchangeRate,NonCustomerCost,OrderDate,OrderRemarks,Freight,InvoicedDate,DueDate,DatePaid,AmountPaid,RequestedShipDate,PONumber,SalesRep,Location,PricingScheme,PaymentTerms,PaymentMethod,TaxingScheme,Tax1Rate,Tax2Rate,CalculateTax2OnTax1,Tax1Name,Tax2Name,Tax1OnShipping,Tax2OnShipping,Custom1,Custom2,Custom3,Custom4,Custom5,Custom6,Custom7,Custom8,Custom9,Custom10,ProductName,ProductDescription,ProductQuantity,ProductQuantityUoM,ProductUnitPrice,ProductDiscount,ProductSubtotal,ProductSerials,SpecialTaxRate,IsQuote,IsCancelled
SO-000006,Fulfilled,Paid,Wall-Mart,George Elliot,479-555-4000,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,USD,1,,12/31/2012 12:00:00 AM,"",,,,2/9/2013 1:05:03 PM,42.45,,,,,Wholesale Price,Net 60,,AR Tax,6,0.5,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,76289B,Kung Fu Master Action Figure,1,,6.99,15%,5.94,,Taxable,,FALSE
SO-000008,Fulfilled,Invoiced,Wall-Mart,George Elliot,479-555-4000,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,USD,1,,1/28/2013 12:00:00 AM,"",,,,,0,,,,,Wholesale Price,Net 60,,AR Tax,6,0.5,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,090821A,"3.75"" Military Classics Warship",10,box,3.99,15%,33.92,,Taxable,,FALSE
SO-000008,Fulfilled,Invoiced,Wall-Mart,George Elliot,479-555-4000,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,USD,1,,1/28/2013 12:00:00 AM,"",,,,,0,,,,,Wholesale Price,Net 60,,AR Tax,6,0.5,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,76289B,Kung Fu Master Action Figure,1,,6.99,15%,5.94,,Taxable,,FALSE
SO-000009,Unfulfilled,Uninvoiced,PedalCar.COM,Doug,800-555-9631,sales@pedalcar.com,492 Third Street,#123,Highland Park,IL,USA,60035,,,492 Third Street,#123,Highland Park,IL,USA,60035,,USD,1,,2/14/2013 12:00:00 AM,"",,2/9/2013 3:10:07 PM,2/9/2013 3:10:07 PM,,0,,,,,Wholesale Price,Due on receipt,,IL Tax,5,1.25,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,12875,Mini-Truck Battery Powered Red,15,,23.99,0%,359.85,,Taxable,,FALSE
SO-000009,Unfulfilled,Uninvoiced,PedalCar.COM,Doug,800-555-9631,sales@pedalcar.com,492 Third Street,#123,Highland Park,IL,USA,60035,,,492 Third Street,#123,Highland Park,IL,USA,60035,,USD,1,,2/14/2013 12:00:00 AM,"",,2/9/2013 3:10:07 PM,2/9/2013 3:10:07 PM,,0,,,,,Wholesale Price,Due on receipt,,IL Tax,5,1.25,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,20101,1:24 California Highway Patrol,15,,30,0%,450,,Taxable,,FALSE
SO-000009,Unfulfilled,Uninvoiced,PedalCar.COM,Doug,800-555-9631,sales@pedalcar.com,492 Third Street,#123,Highland Park,IL,USA,60035,,,492 Third Street,#123,Highland Park,IL,USA,60035,,USD,1,,2/14/2013 12:00:00 AM,"",,2/9/2013 3:10:07 PM,2/9/2013 3:10:07 PM,,0,,,,,Wholesale Price,Due on receipt,,IL Tax,5,1.25,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,46101,Alabama 1957 Police Car,8,,3.99,0%,31.92,,Taxable,,FALSE
SO-000007,Fulfilled,Invoiced,Budget-Minding Collectibles,Bob Weiss,843-555-1337,,Box 491,,Isle Of Palms,SC,USA,29451,,,Box 491,,Isle Of Palms,SC,USA,29451,,USD,1,,1/7/2013 12:00:00 AM,"",,2/9/2013 3:11:16 PM,,,0,,,,,Wholesale Price,,,SC Tax,6,1,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,10201,1:700 Die Cast Battleship,10,,12.99,0%,129.9,,Taxable,,FALSE
SO-000007,Fulfilled,Invoiced,Budget-Minding Collectibles,Bob Weiss,843-555-1337,,Box 491,,Isle Of Palms,SC,USA,29451,,,Box 491,,Isle Of Palms,SC,USA,29451,,USD,1,,1/7/2013 12:00:00 AM,"",,2/9/2013 3:11:16 PM,,,0,,,,,Wholesale Price,,,SC Tax,6,1,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,4275,"4"" Classic Airplane - 3 Piece Set",4,quad,8.99,0%,35.96,,Taxable,,FALSE
SO-000007,Fulfilled,Invoiced,Budget-Minding Collectibles,Bob Weiss,843-555-1337,,Box 491,,Isle Of Palms,SC,USA,29451,,,Box 491,,Isle Of Palms,SC,USA,29451,,USD,1,,1/7/2013 12:00:00 AM,"",,2/9/2013 3:11:16 PM,,,0,,,,,Wholesale Price,,,SC Tax,6,1,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,PM-SB01,"20"" X 18"" X 12"" Shipping Boxes",5,,5,0%,25,,Taxable,,FALSE
SO-000007,Fulfilled,Invoiced,Budget-Minding Collectibles,Bob Weiss,843-555-1337,,Box 491,,Isle Of Palms,SC,USA,29451,,,Box 491,,Isle Of Palms,SC,USA,29451,,USD,1,,1/7/2013 12:00:00 AM,"",,2/9/2013 3:11:16 PM,,,0,,,,,Wholesale Price,,,SC Tax,6,1,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,S10001,Custom Die-Cast Engraving,10,,30,0%,300,,Taxable,,FALSE
SO-000010,Fulfilled,Paid,Budget-Minding Collectibles,Bob Weiss,843-555-1337,,Box 491,,Isle Of Palms,SC,USA,29451,,,Box 491,,Isle Of Palms,SC,USA,29451,,USD,1,,2/9/2013 4:26:52 PM,"",,2/9/2013 4:26:52 PM,,2/9/2013 4:27:11 PM,133.75,,,,,Wholesale Price,,,SC Tax,6,1,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,9400,Police Basket,5,,25,0%,125,,Taxable,,FALSE
SO-000011,Unfulfilled,Uninvoiced,Serious Deals For You,Debra Ignatieff,310-555-4932,deb@inflowsampledata.com,P.O. Box 2103,,Mountain View,CA,USA,94043,,,P.O. Box 2103,,Mountain View,CA,USA,94043,,USD,1,,2/10/2013 9:03:22 PM,"",,2/10/2013 9:03:22 PM,2/25/2013 9:03:22 PM,,0,,,,,Retail Price,Net 15,,CA Tax,8.25,0,FALSE,State Tax,City Tax,FALSE,FALSE,,,,,,,,,,,00303A,Army Combat Helmet,20,set,8.99,0%,179.8,,Taxable,,FALSE
SO-000012,Fulfilled,Paid,Budget-Minding Collectibles,Bob Weiss,843-555-1337,,Box 491,,Isle Of Palms,SC,USA,29451,,,Box 491,,Isle Of Palms,SC,USA,29451,,USD,1,,2/25/2013 9:10:09 PM,"",,2/25/2013 9:26:16 PM,,2/25/2013 9:26:16 PM,1133.5,,,,,Wholesale Price,,,SC Tax,6,1,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,4275,"4"" Classic Airplane - 3 Piece Set",5,quad,8.99,0%,44.95,,Taxable,,FALSE
SO-000012,Fulfilled,Paid,Budget-Minding Collectibles,Bob Weiss,843-555-1337,,Box 491,,Isle Of Palms,SC,USA,29451,,,Box 491,,Isle Of Palms,SC,USA,29451,,USD,1,,2/25/2013 9:10:09 PM,"",,2/25/2013 9:26:16 PM,,2/25/2013 9:26:16 PM,1133.5,,,,,Wholesale Price,,,SC Tax,6,1,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,12875,Mini-Truck Battery Powered Red,5,,23.99,0%,119.95,,Taxable,,FALSE
SO-000012,Fulfilled,Paid,Budget-Minding Collectibles,Bob Weiss,843-555-1337,,Box 491,,Isle Of Palms,SC,USA,29451,,,Box 491,,Isle Of Palms,SC,USA,29451,,USD,1,,2/25/2013 9:10:09 PM,"",,2/25/2013 9:26:16 PM,,2/25/2013 9:26:16 PM,1133.5,,,,,Wholesale Price,,,SC Tax,6,1,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,14232,Mini-Sports Car Battery Powered Red,30,,23.99,0%,719.7,,Taxable,,FALSE
SO-000012,Fulfilled,Paid,Budget-Minding Collectibles,Bob Weiss,843-555-1337,,Box 491,,Isle Of Palms,SC,USA,29451,,,Box 491,,Isle Of Palms,SC,USA,29451,,USD,1,,2/25/2013 9:10:09 PM,"",,2/25/2013 9:26:16 PM,,2/25/2013 9:26:16 PM,1133.5,,,,,Wholesale Price,,,SC Tax,6,1,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,76289B,Kung Fu Master Action Figure,25,,6.99,0%,174.75,,Taxable,,FALSE
SO-000013,Unfulfilled,Uninvoiced,Wall-Mart,George Elliot,479-555-4000,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,USD,1,,7/18/2014 2:40:01 PM,,,,,,0,,,,,Wholesale Price,Net 60,,No Tax,0,0,FALSE,,,FALSE,FALSE,,,,,,,,,,,BEL-LED-2350-HD,"BEL LED 23"" screen ",2,,299,15%,508.3,"BEL0001LED
BEL0002LED",Taxable,,FALSE
